,name,distance,moving_time,total_elevation_gain,workout_type,kudos_count,max_speed,average_heartrate,max_heartrate,pr_count,suffer_score,is_named,local_date,run_per_day,max_run,run_area,average_speed_mpk,datetime,hour,uk_awake,kfold
557,schwing schwing schwing,8.1082,36.28333333333333,10.0,0.0,31,5.9,130.6,142.0,0,8.0,1,2021-01-22,4,0,5.87803078815341,4.475295381310419,2021-01-22 15:02:31,15,1,2
558,Took some friends to see the beautiful Kathryn Albertson ,8.2965,40.23333333333333,13.0,0.0,33,4.8,134.9,156.0,0,11.0,1,2020-10-22,2,0,0.8228234946727753,4.848996217631656,2020-10-22 22:09:11,22,0,2
559,Up,4.828,22.23333333333333,32.0,0.0,20,4.7,136.3,159.0,0,6.0,1,2020-10-05,3,0,0.1444597728550434,4.605139541309754,2020-10-05 21:09:28,21,0,2
560,16k progression @ 3:13 avg,23.3647,81.65,140.2,3.0,86,7.8,161.1,194.0,0,113.0,1,2020-03-24,1,1,10.426334984003915,3.4946529670790523,2020-03-24 16:43:49,16,1,1
561,Look at all those chickens 🐓 ,19.5415,88.65,197.3,0.0,54,5.3,149.3,172.0,0,66.0,1,2020-10-08,2,1,1.2748059816658497,4.536200326619489,2020-10-08 14:44:58,14,1,2
562,"2 x (40m,60m,80m,100m)",8.069,42.28333333333333,54.0,0.0,32,8.6,130.4,147.0,0,9.0,1,2021-02-08,2,0,0.8196569979190826,5.239232945614587,2021-02-08 22:39:19,22,0,2
563,Dropped a fat deuce ,15.1562,66.41666666666667,253.4,0.0,49,8.1,141.9,171.0,0,27.0,1,2020-06-11,1,1,38.44357997877523,4.382329739679201,2020-06-11 09:08:31,9,1,2
564,WD,3.7896,18.133333333333333,10.0,0.0,16,5.2,157.8,178.0,0,22.0,1,2020-03-03,4,0,1.802020415198058,4.784955498133793,2020-03-03 19:37:53,19,1,1
565,Morning report ,8.1358,37.06666666666667,11.0,0.0,35,5.2,127.0,140.0,0,8.0,1,2021-02-11,2,1,1.686159521341324,4.556041552761072,2021-02-11 14:15:30,14,1,2
566,Fast twitch ,3.2123000000000004,20.85,35.0,0.0,18,9.5,138.3,159.0,0,7.0,1,2020-10-26,3,0,0.3226567059755325,6.4898753894081,2020-10-26 21:36:13,21,0,1
567,Grind,10.0267,43.2,17.0,0.0,50,5.6,140.3,158.0,1,14.0,1,2020-04-03,1,1,4.312970031605801,4.308686659772492,2020-04-03 10:37:07,10,1,2
568,4 x 150,1.385,6.633333333333334,0.0,0.0,14,8.0,154.3,169.0,0,6.0,1,2020-02-08,4,0,0.4876349521509837,4.789080459770115,2020-02-08 09:54:30,9,1,1
569,Death plod,3.0128000000000004,15.033333333333331,19.0,0.0,12,5.1,149.7,167.0,0,10.0,1,2020-06-20,4,0,10.170420500799082,4.989820359281437,2020-06-20 10:39:14,10,1,1
570,Tan top up,6.602399999999999,30.3,6.0,0.0,42,5.9,142.9,162.0,0,13.0,1,2020-08-18,2,0,1.9040831830352545,4.588656387665198,2020-08-18 21:10:11,21,0,2
571,"naughty naughty, very naughty ",12.08,54.23333333333333,173.1,0.0,43,5.5,147.6,172.0,0,35.0,1,2020-07-01,1,1,34.29298494666,4.489762931034482,2020-07-01 16:33:55,16,1,2
572,I do love a good double ,8.081,35.46666666666667,49.0,0.0,49,5.1,141.4,158.0,0,11.0,1,2020-11-25,2,0,23.814872838556767,4.389254674743218,2020-11-25 20:21:28,20,0,2
573,Ahmed has 100 cousins ,8.0122,37.11666666666667,11.0,0.0,32,5.9,123.2,136.0,0,7.0,1,2020-09-11,2,0,2.257898449897766,4.632017787659811,2020-09-12 00:01:05,0,0,2
574,Golf course mileage ,10.115200000000002,43.583333333333336,44.0,0.0,49,5.5,139.5,158.0,0,13.0,1,2020-03-27,1,1,4.446869934326969,4.308686659772492,2020-03-27 11:26:35,11,1,2
575,WU,4.1482,18.266666666666666,7.0,0.0,5,7.5,128.4,145.0,0,4.0,1,2019-12-17,4,0,6.913355173310265,4.403170409511229,2019-12-17 18:10:09,18,1,1
576,WD ,3.3833,16.033333333333335,1.0,0.0,9,4.3,157.6,171.0,0,20.0,1,2020-01-07,4,0,1.1452400030975696,4.738697753767416,2020-01-07 19:46:57,19,1,1
577,6 x 3 mins [2 min float] 🌬,9.1346,30.05,55.7,3.0,55,8.6,174.0,189.0,0,69.0,1,2021-01-05,3,1,5.106690059619723,3.289774970390841,2021-01-05 10:06:16,10,1,2
578,Church ⛪️ ,27.1058,107.88333333333334,238.0,2.0,62,7.8,153.7,170.0,2,105.0,1,2019-12-15,1,1,5.916660302318633,3.979465138490927,2019-12-15 08:35:06,8,1,2
579,Prepping the grounds for BUCS,9.6704,38.1,22.0,3.0,69,6.6,151.5,185.0,0,32.0,1,2020-01-25,4,1,2.8733851650031283,3.9399527186761225,2020-01-25 10:08:32,10,1,2
580,1/4 Boston Marathon ,10.5216,34.11666666666667,96.2,3.0,76,6.9,159.3,172.0,0,47.0,1,2020-12-11,4,1,35.455916076898575,3.242412451361868,2020-12-11 14:33:04,14,1,2
581,WD,4.1035,17.766666666666666,23.0,0.0,9,5.1,159.0,173.0,0,23.0,1,2020-12-26,4,0,7.194080012595805,4.3299558326838135,2020-12-26 11:13:08,11,1,1
582,Pacing the girls for 3k,3.0,9.5,0.0,3.0,33,0.0,,,0,,1,2020-10-30,5,0,0.0,3.166634999049972,2020-10-30 22:15:58,22,0,2
583,Strides ,1.3955,6.633333333333334,4.0,0.0,9,8.1,147.7,159.0,0,3.0,1,2020-01-07,4,0,0.0329499926010612,4.753565316600114,2020-01-07 19:38:53,19,1,1
584,Finessed the post race leg ligma 😼,14.511,60.3,14.0,0.0,47,5.4,143.5,156.0,0,22.0,1,2021-02-21,1,1,76.67423924431205,4.155073547743704,2021-02-21 16:33:28,16,1,2
585,Big miles incoming ,20.3049,91.23333333333332,373.7,0.0,90,5.8,147.4,174.0,1,57.0,1,2020-04-12,1,1,195.8984599241376,4.493394445942302,2020-04-12 09:08:16,9,1,1
586,WD,1.6295,8.25,22.0,0.0,5,4.1,143.0,155.0,0,3.0,1,2020-09-22,4,0,0.311291660182178,5.062575941676792,2020-09-22 22:43:01,22,0,2
587,"4 x 400m [70s], 2 miles [2 mins], 4 x 400m [70s]",7.6615,29.2,19.0,3.0,60,8.4,143.1,179.0,0,13.0,1,2020-10-13,4,0,2.191448584198952,3.8111136519551794,2020-10-13 21:54:23,21,0,2
588,🚂,8.0712,36.13333333333333,43.0,0.0,49,5.6,153.1,179.0,0,34.0,1,2020-12-15,4,0,24.51890031807125,4.476497448294387,2020-12-15 21:17:09,21,0,2
589,4 x 30s strides,1.4953,6.933333333333334,2.0,0.0,5,8.7,147.9,163.0,0,3.0,1,2020-06-02,4,0,0.0451450034688605,4.6371730662214805,2020-06-02 10:26:07,10,1,2
590,Gavin Williamson is a melon ,16.4357,70.45,153.1,0.0,46,7.4,139.2,162.0,3,22.0,1,2020-08-13,1,1,86.15030092187226,4.286522633744856,2020-08-13 11:35:48,11,1,2
591,Miler Haller ,8.193200000000001,36.7,11.0,0.0,48,6.7,131.3,142.0,0,8.0,1,2021-03-14,1,1,6.094854325056076,4.4789035205589895,2021-03-14 18:09:44,18,1,2
592,The hill was not appreciated ,14.9267,65.48333333333333,187.0,0.0,43,5.7,144.0,165.0,0,30.0,1,2020-07-29,2,1,64.49741008509591,4.386943932613846,2020-07-29 08:59:12,8,1,2
593,Gain train 🚂😈🤪,8.135399999999999,36.1,10.0,0.0,32,5.3,148.2,164.0,0,26.0,1,2021-01-29,4,1,5.870196036994457,4.43716719914803,2021-01-29 16:01:32,16,1,2
594,Ugh ,10.0848,33.61666666666667,31.0,3.0,63,8.1,160.7,193.0,0,46.0,1,2020-06-30,4,1,3.2973250199574977,3.3332,2020-06-30 17:50:48,17,1,2
595,WU,3.9392,18.0,68.0,0.0,10,4.9,151.7,174.0,1,15.0,1,2019-12-28,3,0,0.4841000020405772,4.569783383602962,2019-12-28 08:36:46,8,1,2
596,WU,4.7735,20.55,29.0,0.0,12,7.7,136.6,153.0,0,5.0,1,2020-01-25,4,0,19.30089965753723,4.305347455437872,2020-01-25 09:25:54,9,1,2
597,WD,3.2563,16.233333333333334,13.0,0.0,6,4.5,127.6,140.0,0,3.0,1,2019-12-17,4,0,1.6034509826567955,4.985342506730482,2019-12-17 19:55:42,19,1,2
598,Efficient mileage ,7.9016,34.03333333333333,19.0,0.0,30,5.3,141.6,153.0,0,11.0,1,2020-01-06,2,1,5.672324959959951,4.306459948320414,2020-01-06 18:11:09,18,1,2
599,Some new trails YeEEeeEEEz,16.0988,73.35,287.6,0.0,67,6.1,133.5,177.0,0,24.0,1,2021-03-09,2,1,11.94770447909832,4.556041552761072,2021-03-09 21:08:54,21,0,2
600,Ante prandium,12.0096,53.16666666666666,176.5,0.0,41,5.4,143.6,162.0,0,22.0,1,2020-06-01,1,1,33.2596750013181,4.4265604249668,2020-06-01 08:44:07,8,1,2
601,The morning after the night before ,20.025,91.85,237.0,2.0,79,11.7,146.1,166.0,1,53.0,1,2020-02-02,1,1,115.9163955890108,4.586130985140342,2020-02-02 11:56:20,11,1,2
602,WD,3.6585,18.8,21.0,0.0,16,4.0,154.7,163.0,0,20.0,1,2021-01-22,4,0,6.039650179445744,5.139068763490595,2021-01-22 22:40:46,22,0,2
603,WD,3.2957,16.116666666666667,19.0,0.0,10,4.0,145.0,157.0,0,7.0,1,2021-02-12,4,0,0.1203210558742284,4.890258215962442,2021-02-12 22:20:20,22,0,2
604,WU,4.8229,22.683333333333334,43.0,0.0,19,4.7,125.9,139.0,0,4.0,1,2020-09-08,4,0,0.1282081939280033,4.702595936794583,2020-09-08 13:14:28,13,1,2
605,"White socks and white shoes, a vibe ",14.0125,62.333333333333336,218.8,0.0,55,6.0,145.6,165.0,0,33.0,1,2020-07-22,2,1,38.02159503720759,4.447824926607954,2020-07-22 08:30:36,8,1,2
606,S P E E D,1.3489,6.233333333333333,1.0,0.0,12,7.6,141.9,158.0,0,2.0,1,2020-06-23,4,0,0.4324950054979126,4.620460216246188,2020-06-23 19:15:44,19,1,2
607,🚁,8.9323,30.05,145.5,3.0,52,7.0,159.4,172.0,0,42.0,1,2020-12-15,4,1,5.776050966233015,3.364150181671377,2020-12-15 14:35:17,14,1,2
608,WD,3.008,13.933333333333334,32.2,0.0,10,5.0,151.9,165.0,0,12.0,1,2020-06-02,4,0,7.4333299835416256,4.632017787659811,2020-06-02 10:33:46,10,1,2
609,MMMWMWM,16.1083,69.81666666666666,99.5,0.0,65,5.7,155.1,170.0,1,75.0,1,2021-01-11,2,1,34.426606725901365,4.33446033810143,2021-01-11 15:39:07,15,1,2
610,WU,4.2242,18.633333333333333,19.0,0.0,10,5.1,135.7,149.0,0,4.0,1,2020-01-14,4,0,2.5916448066709563,4.41132874536792,2020-01-14 18:10:48,18,1,2
611,Doesn’t get more standard than this,10.1776,45.8,95.0,0.0,41,5.6,135.9,153.0,0,11.0,1,2019-12-16,2,1,67.73140485165641,4.499460043196544,2019-12-16 07:42:30,7,1,2
612,WU,4.570399999999999,20.8,192.0,0.0,6,7.2,136.6,153.0,0,5.0,1,2019-12-07,4,0,18.24025475798408,4.551064991807755,2019-12-07 08:56:40,8,1,2
613,It’s ball time ,13.3553,57.38333333333333,160.9,0.0,54,7.2,133.5,155.0,0,14.0,1,2020-01-23,1,1,73.07455452973954,4.296468161897396,2020-01-23 08:45:41,8,1,2
614,First run this year!! hahahahahahahahahaha,11.5778,50.333333333333336,167.3,0.0,67,5.1,143.6,164.0,0,22.0,1,2021-01-01,1,1,33.56098495714832,4.346896191966614,2021-01-01 14:25:42,14,1,2
615,A welcomed easier week,15.5213,66.78333333333333,129.0,0.0,65,5.4,138.4,161.0,0,20.0,1,2020-04-06,1,1,63.1023349797033,4.302013422818792,2020-04-06 16:04:50,16,1,2
616,Humbled,13.009,56.15,174.6,0.0,51,6.6,145.8,167.0,0,31.0,1,2020-06-04,1,1,51.833664929290535,4.316498316498317,2020-06-04 16:31:27,16,1,2
617,WU,6.1325,27.0,1.0,0.0,16,4.7,138.8,153.0,0,8.0,1,2020-04-04,3,0,14.67721499466279,4.403170409511229,2020-04-04 13:58:36,13,1,2
618,WD,4.2701,20.7,21.0,0.0,13,4.2,135.2,145.0,0,5.0,1,2021-01-19,4,0,1.7462880350649357,4.847585805700989,2021-01-19 22:36:57,22,0,2
619,Usual from the usual ,16.1904,70.55,95.4,0.0,54,7.3,152.8,172.0,0,67.0,1,2020-11-27,2,1,93.09459710493684,4.357124183006536,2020-11-27 14:15:34,14,1,2
620,The dose makes the poison,12.2861,40.0,66.1,3.0,76,7.7,154.2,174.0,0,40.0,1,2020-05-26,4,1,8.273069897768437,3.2557140066419223,2020-05-26 16:56:39,16,1,2
621,WD,4.7325,23.73333333333333,2.0,0.0,10,4.1,132.6,145.0,0,5.0,1,2021-02-26,4,0,1.0401359759271145,5.015347577490219,2021-02-26 22:16:46,22,0,2
622,WU,4.4546,20.3,21.0,0.0,12,4.7,130.4,144.0,0,4.0,1,2020-02-25,3,0,7.390699829556979,4.55728739403883,2020-02-25 18:09:05,18,1,2
623,20 x 200m [200m jog] 🤓,8.6763,29.28333333333333,1.0,3.0,51,9.3,146.8,167.0,0,16.0,1,2021-01-12,4,1,2.7671223506331444,3.375050627784528,2021-01-12 23:10:49,23,0,2
624,Cheeky moon 🌚 ,16.1952,73.51666666666667,188.4,0.0,48,5.4,127.0,146.0,0,16.0,1,2020-10-05,3,1,8.24884045869112,4.538671023965142,2020-10-05 14:03:55,14,1,2
625,Mileage with Miler ,30.1214,125.0,80.3,2.0,77,6.5,137.4,180.0,6,52.0,1,2020-09-12,1,1,81.29463531076908,4.149900398406374,2020-09-12 14:11:31,14,1,2
626,Pranked by an 🍏 ,14.022,63.5,164.9,0.0,54,5.4,146.9,170.0,0,47.0,1,2020-10-26,3,1,0.4851026460528373,4.528804347826087,2020-10-26 14:02:17,14,1,2
627,WU,4.8518,21.8,6.0,0.0,11,5.0,132.4,146.0,2,5.0,1,2020-10-20,4,0,1.2707721907645464,4.493394445942302,2020-10-20 21:10:14,21,0,2
628,🤠🤠,32.2258,123.8,163.7,2.0,100,6.9,157.1,181.0,10,154.0,1,2020-12-12,1,1,132.43574067018926,3.841862609497464,2020-12-12 14:39:53,14,1,2
629,Oofty ,8.0718,35.4,7.0,0.0,36,8.0,129.4,140.0,0,8.0,1,2021-02-02,2,0,1.9507016986608503,4.385789473684211,2021-02-02 15:01:36,15,1,2
630,yarp,9.6577,43.86666666666667,17.0,0.0,26,5.7,130.5,144.0,0,10.0,1,2020-10-20,4,0,2.6294728741049767,4.542382120468792,2020-10-20 13:32:26,13,1,2
631,Chicken nuggets the size of a nut ,16.1066,74.66666666666667,185.3,0.0,39,5.0,144.8,167.0,0,49.0,1,2021-01-25,2,1,1.7078244127333164,4.635883171070931,2021-01-25 14:23:25,14,1,2
632,"Bailed on medium long run, tummy hurty",0.6437999999999999,2.833333333333333,2.0,0.0,17,4.3,116.3,127.0,0,0.0,1,2021-02-11,2,0,0.0739797542337328,4.400844996039082,2021-02-11 22:08:58,22,0,2
633,Praying the dog didn’t eat Steph ,10.2403,41.65,18.0,0.0,41,4.8,140.4,159.0,1,14.0,1,2020-03-20,3,1,4.5088650040270295,4.066861883845779,2020-03-20 10:17:37,10,1,2
634,Pirate’s booty ,20.6922,90.0,198.1,0.0,58,5.4,152.6,171.0,2,82.0,1,2020-12-03,1,1,152.5164465419948,4.349164926931107,2020-12-03 13:24:40,13,1,2
635,"6.4k, 3.2k, 1.6k off 3 mins 😤🐗",12.0202,40.15,59.0,3.0,73,7.8,174.8,199.0,1,98.0,1,2020-07-21,4,1,7.380095075859572,3.339879759519038,2020-07-21 09:36:07,9,1,2
636,WD,7.7065,35.25,29.0,0.0,24,4.9,148.8,163.0,0,22.0,1,2020-04-04,3,1,14.411890015253448,4.573545554335895,2020-04-04 15:08:24,15,1,2
637,WD,4.024,17.95,53.3,0.0,13,5.1,153.9,167.0,1,17.0,1,2020-12-04,3,0,9.693176252767444,4.460920770877944,2020-12-04 15:28:34,15,1,2
638,A mixed bag ,5.358899999999999,24.5,18.0,0.0,34,8.4,154.7,171.0,0,25.0,1,2021-01-05,3,0,4.547729986370541,4.571036752605595,2021-01-05 10:39:38,10,1,2
639,Stacked it,8.033,38.11666666666667,13.0,0.0,28,5.9,133.5,157.0,0,10.0,1,2020-10-08,2,0,0.212003942579031,4.745444191343964,2020-10-08 22:20:45,22,0,2
640,"7.2k, 3.2k, 1.6k all off 3 mins 🧎🏻‍♂️",12.7632,42.05,61.2,3.0,71,7.1,173.7,195.0,0,99.0,1,2020-08-04,3,1,7.938434919196879,3.294326942083416,2020-08-04 10:28:47,10,1,2
641,WU,4.1631,19.166666666666668,49.0,0.0,22,4.9,133.1,153.0,0,5.0,1,2020-02-29,4,0,2.3453900212189183,4.603867403314917,2020-02-29 15:55:28,15,1,2
642,WU,3.7281,17.016666666666666,13.0,0.0,9,5.0,131.3,144.0,0,3.0,1,2020-07-28,4,0,7.464905002052546,4.564776773486717,2020-07-28 09:42:56,9,1,2
643,WU,4.0081,18.5,9.0,0.0,9,4.9,132.0,142.0,0,4.0,1,2020-09-29,4,0,9.401596616953611,4.615342010523401,2020-09-29 21:14:03,21,0,2
644,Oofty 2,16.101200000000002,71.46666666666667,17.0,0.0,41,4.9,148.2,162.0,1,47.0,1,2021-02-02,2,1,0.3707944415509701,4.4383488681757655,2021-02-02 21:11:42,21,0,2
645,T-shirt weather ,13.8745,45.016666666666666,6.0,3.0,79,7.1,168.1,193.0,3,89.0,1,2020-01-21,4,1,19.80297456611879,3.24430601518396,2020-01-21 18:48:53,18,1,2
646,WU,4.405,20.183333333333334,28.0,0.0,12,5.9,127.1,148.0,0,4.0,1,2020-06-20,4,0,6.066344758437481,4.582348089084411,2020-06-20 08:41:44,8,1,2
647,Afternoon Run,1.7146,10.233333333333333,42.0,0.0,9,4.1,134.9,144.0,0,2.0,0,2020-02-22,5,0,0.9976049113902264,5.967060508413892,2020-02-22 15:48:06,15,1,2
648,Daily dose of the good stuff ,9.5261,40.03333333333333,46.0,0.0,53,5.1,154.6,172.0,0,40.0,1,2020-05-08,1,1,20.86088502437633,4.202218860312658,2020-05-08 15:16:30,15,1,2
649,WD,4.0015,18.73333333333333,4.0,0.0,13,4.1,155.6,166.0,0,21.0,1,2020-07-25,4,0,5.598349980573403,4.681460674157304,2020-07-25 09:22:04,9,1,2
650,"Fired up, ready to go ",5.03,22.466666666666665,18.0,0.0,43,7.4,124.3,142.0,0,4.0,1,2020-02-21,1,1,1.4649402146460488,4.466898954703833,2020-02-21 18:25:29,18,1,2
651,dub,7.1327,29.98333333333333,69.6,0.0,35,5.2,146.1,161.0,0,18.0,1,2020-06-22,2,0,19.092230058959103,4.20327868852459,2020-06-22 16:44:50,16,1,2
652,"Not 10, sorry Logan ",12.927700000000002,59.28333333333333,49.0,0.0,44,5.5,150.2,165.0,0,52.0,1,2021-01-28,2,1,37.57411614060402,4.586130985140342,2021-01-28 22:39:54,22,0,2
653,4 x 20s strides ,1.1184,5.8,5.0,0.0,11,9.5,141.3,155.0,0,2.0,1,2020-07-15,4,0,0.0154201188706792,5.185438705662726,2020-07-15 10:29:47,10,1,2
654,You love to see it ,26.3721,94.5,48.0,3.0,94,7.5,154.3,188.0,0,95.0,1,2020-04-14,1,1,10.31694000630523,3.5833154160395617,2020-04-14 16:03:08,16,1,2
655,Coming to a residential area near you ,16.32,71.71666666666667,146.2,0.0,46,5.4,150.2,170.0,0,55.0,1,2020-12-30,2,1,22.00491499024793,4.393883469549169,2020-12-30 10:02:35,10,1,2
656,nomnomnom,26.513,115.9,431.4,2.0,84,5.3,153.9,173.0,2,114.0,1,2020-04-05,1,1,183.4782300193183,4.370836611591923,2020-04-05 09:14:00,9,1,2
657,Strides ,1.3534000000000002,7.666666666666667,2.0,0.0,8,8.0,137.7,157.0,1,2.0,1,2020-01-25,4,0,0.0234800609177909,5.664853840924541,2020-01-25 10:55:08,10,1,2
658,Instadropped,6.9838000000000005,31.55,10.0,0.0,36,6.9,133.6,147.0,1,7.0,1,2020-08-21,2,0,1.827813684940338,4.517755489292491,2020-08-21 22:07:23,22,0,2
659,😺😺,16.133200000000002,66.86666666666666,156.0,0.0,54,5.4,153.3,166.0,4,66.0,1,2021-01-06,2,1,87.28571701794863,4.144740114399403,2021-01-06 12:45:26,12,1,2
660,Shane’s 🥱😴,16.099700000000002,72.6,185.1,0.0,50,5.1,150.0,166.0,1,59.0,1,2021-01-20,2,1,1.5608384273946283,4.509199134199134,2021-01-20 15:04:09,15,1,2
661,New shoe day bb ,10.0188,49.583333333333336,113.4,0.0,44,4.5,139.1,157.0,0,17.0,1,2020-10-29,2,1,3.6332523450255394,4.94833729216152,2020-10-29 14:54:46,14,1,2
662,Bloated ,8.0585,36.016666666666666,5.0,0.0,26,4.7,151.2,163.0,0,31.0,1,2021-02-03,2,0,5.912058986723423,4.469294717082327,2021-02-03 23:01:54,23,0,2
663,Classico,8.2546,36.38333333333333,9.9,0.0,26,7.7,132.7,154.0,0,9.0,1,2020-08-31,2,0,0.257312785834074,4.407828616768051,2020-09-01 00:17:39,0,0,2
664,WU,4.1849,19.133333333333333,28.2,0.0,9,5.5,135.6,153.0,0,4.0,1,2019-12-10,4,0,6.4723850300651975,4.572290809327846,2019-12-10 18:10:49,18,1,2
665,WD,5.0069,24.45,7.0,0.0,11,4.2,140.6,155.0,0,8.0,1,2021-01-26,4,0,0.2243963535875082,4.883094052153531,2021-01-26 22:24:43,22,0,2
666,Strides ,0.5081,2.1666666666666665,9.0,0.0,10,7.8,130.1,146.0,0,0.0,1,2020-06-30,4,0,0.1735199930408271,4.264585465711361,2020-06-30 18:39:37,18,1,2
667,Ez with Riccardo ,7.0123,32.15,9.0,0.0,30,6.8,139.0,156.0,0,12.0,1,2021-02-10,2,0,3.492971882224083,4.584869325997249,2021-02-11 00:31:13,0,0,2
668,Shake ,1.5656,8.0,7.0,0.0,17,4.5,124.4,141.0,0,1.0,1,2021-02-01,4,0,0.9166004019789398,5.10913549969344,2021-02-01 14:18:17,14,1,2
669,Bloody sock 🩸 🧦 ,14.0556,60.016666666666666,219.9,0.0,58,8.3,146.7,165.0,1,35.0,1,2020-05-21,1,1,34.22761992624146,4.270048680502178,2020-05-21 17:08:32,17,1,2
670,WD,1.7426,9.3,7.0,0.0,11,4.1,146.7,157.0,0,4.0,1,2020-10-30,5,0,0.3275927156209945,5.336535382644892,2020-10-30 22:43:31,22,0,2
671,Dub,6.468,29.666666666666668,9.0,0.0,32,5.9,135.7,143.0,0,7.0,1,2020-08-20,2,0,0.1809792593121528,4.586130985140342,2020-08-20 23:34:25,23,0,2
672,WD,3.7121,17.366666666666667,16.0,0.0,6,4.6,135.2,147.0,0,4.0,1,2020-01-14,4,0,3.840250064968132,4.678832116788321,2020-01-14 19:55:32,19,1,2
673,Good job buddy ,16.113799999999998,70.9,161.0,0.0,46,6.7,155.6,168.0,0,80.0,1,2020-12-09,2,1,85.01064730808139,4.399683210137276,2020-12-09 13:31:44,13,1,2
674,WD,3.5995,18.4,43.0,0.0,10,4.4,143.9,157.0,0,7.0,1,2020-01-18,4,0,8.415540287387557,5.112269938650307,2020-01-18 11:42:09,11,1,2
675,4 x 20s strides ,1.2732,6.0,5.0,0.0,8,7.6,147.8,160.0,0,3.0,1,2020-07-28,4,0,0.0375900015114893,4.711902742437093,2020-07-28 11:05:55,11,1,2
676,2+2=5,9.1754,39.0,39.0,0.0,45,5.1,145.8,174.0,3,23.0,1,2020-03-20,3,0,29.15681502599909,4.250446314715634,2020-03-20 18:24:09,18,1,2
677,WU,4.913,22.45,37.0,0.0,13,4.7,151.6,166.0,0,19.0,1,2020-10-12,3,0,0.1230800990015268,4.569783383602962,2020-10-12 21:13:05,21,0,2
678,WU,4.0053,18.633333333333333,91.1,0.0,14,4.6,133.8,156.0,0,6.0,1,2020-10-02,4,0,5.22846239618957,4.651409433435668,2020-10-02 21:13:28,21,0,2
679,up,3.7718,17.95,7.0,0.0,12,6.2,141.3,155.0,0,7.0,1,2020-06-16,4,0,4.10605007346021,4.758994860079954,2020-06-16 09:01:11,9,1,2
680,WU,3.3959,15.133333333333333,2.0,0.0,7,4.7,139.2,153.0,0,4.0,1,2020-06-06,4,0,6.441134996748588,4.456149732620321,2020-06-06 09:34:45,9,1,2
681,All the boys ,8.6311,36.35,9.0,0.0,36,6.7,130.9,152.0,0,8.0,1,2020-02-05,2,0,6.183719597174786,4.211776598433157,2020-02-05 17:55:31,17,1,2
682,WD,4.8948,20.466666666666665,42.7,0.0,13,5.1,150.5,159.0,0,15.0,1,2019-12-31,3,0,2.219109990164725,4.181133968891118,2019-12-31 10:05:50,10,1,2
683,Fast twitch ,3.5184,21.966666666666665,36.0,0.0,30,9.2,117.9,144.0,0,4.0,1,2020-10-05,3,0,0.3932917024940252,6.24428624953166,2020-10-05 21:36:04,21,0,2
684,Curry vengeance ,16.114,69.41666666666667,113.9,0.0,48,5.0,145.4,167.0,1,39.0,1,2020-12-28,2,1,16.92337491476792,4.3075730162832775,2020-12-28 10:02:02,10,1,2
685,Dario the last rep warrior ,5.4257,20.55,8.0,3.0,40,9.1,131.6,147.0,0,4.0,1,2021-02-26,4,0,1.9592931494116783,3.7877272727272726,2021-02-26 21:46:02,21,0,2
686,WD,3.1847,15.4,46.0,0.0,13,4.0,149.6,168.0,0,10.0,1,2020-01-25,4,0,13.391979882726446,4.83492892370177,2020-01-25 11:10:36,11,1,2
687,‘Warm’ springs golf course ,7.1609,32.833333333333336,9.0,0.0,20,6.1,121.5,138.0,0,6.0,1,2020-10-27,4,0,1.68713741004467,4.584869325997249,2020-10-27 13:34:43,13,1,2
688,Jimmy Dunn loop,17.049400000000002,72.05,74.0,0.0,53,5.8,151.4,172.0,5,58.0,1,2020-03-19,1,1,67.32818583259359,4.225659229208925,2020-03-19 09:30:55,9,1,2
689,Cheeky golf course miles,8.0189,35.75,12.0,0.0,34,4.9,129.3,150.0,0,8.0,1,2020-10-23,4,0,1.3467390090227127,4.458533975387908,2020-10-23 14:32:55,14,1,2
690,WD,3.1125,15.666666666666666,107.0,0.0,6,4.4,147.8,175.0,0,10.0,1,2019-12-07,4,0,13.53919506072998,5.033524614919964,2019-12-07 10:38:31,10,1,2
691,Up ,4.8705,22.78333333333333,44.0,0.0,16,4.6,135.8,154.0,0,6.0,1,2020-11-02,3,0,0.323285348713398,4.677518944709514,2020-11-02 22:09:01,22,0,2
692,Chill ,9.5943,43.4,55.0,0.0,23,5.4,134.4,152.0,0,12.0,1,2019-12-16,2,0,4.267924668965861,4.523887079261672,2019-12-16 17:32:22,17,1,2
693,🤓,11.6112,43.03333333333333,32.0,3.0,63,6.9,154.9,177.0,0,45.0,1,2020-06-06,4,1,8.274414949482889,3.706026239715366,2020-06-06 09:57:29,9,1,2
694,WU,3.3307,15.0,11.0,0.0,8,4.8,130.1,140.0,0,3.0,1,2019-12-24,4,0,4.885179987468291,4.503107268305864,2019-12-24 08:54:10,8,1,2
695,Morning Run,2.1369,9.5,0.0,0.0,13,5.8,122.4,135.0,1,1.0,0,2020-02-01,4,0,1.3957796909380704,4.445452120565484,2020-02-01 09:16:33,9,1,2
696,Morning Run,21.0937,90.0,43.0,0.0,6,5.5,156.6,190.0,3,107.0,0,2020-12-24,1,1,118.7291600217577,4.266769073220686,2020-12-24 10:10:27,10,1,2
697,The devil is in the detail ,26.6652,105.0,180.5,2.0,91,6.6,155.7,181.0,3,120.0,1,2020-11-28,1,1,154.23797303810716,3.937160406331208,2020-11-28 14:24:54,14,1,2
