,name,distance,moving_time,total_elevation_gain,workout_type,kudos_count,max_speed,average_heartrate,max_heartrate,pr_count,suffer_score,is_named,local_date,run_per_day,max_run,run_area,average_speed_mpk,datetime,hour,uk_awake,kfold
452,WU,3.8779,16.2,5.0,0.0,11,4.9,148.9,164.0,0,13.0,1,2020-06-30,4,0,1.6494399915245594,4.176942355889724,2020-06-30 17:17:10,17,1,1
453,Up,4.8256000000000006,21.366666666666667,37.0,0.0,16,5.2,130.8,146.0,0,4.0,1,2020-09-28,3,0,0.1775217242538929,4.427736450584485,2020-09-28 21:09:49,21,0,1
454,Shake out ,2.0785,9.383333333333333,6.0,0.0,3,4.7,133.5,145.0,0,2.0,1,2020-03-07,4,0,0.1320000137638999,4.514084507042253,2020-03-07 10:20:17,10,1,1
455,Slip 'n slide,17.1471,60.0,64.0,3.0,84,6.2,168.1,185.0,0,112.0,1,2020-06-16,4,1,12.647355106309988,3.4990552173000213,2020-06-16 09:44:54,9,1,1
456,Triweekly nasal penetration 👃 ,16.1909,73.21666666666667,191.1,0.0,49,6.4,143.2,164.0,1,33.0,1,2020-10-21,2,1,8.249003440141678,4.5214324470971246,2020-10-21 13:24:26,13,1,1
457,Solo,14.196,63.15,98.5,0.0,35,7.0,126.2,152.0,0,13.0,1,2020-09-11,2,1,6.856967229396105,4.447824926607954,2020-09-11 14:32:33,14,1,1
458,WU,4.017,17.516666666666666,21.0,0.0,12,4.5,138.9,155.0,0,5.0,1,2021-01-02,4,0,7.641984961992421,4.360544217687075,2021-01-02 10:23:48,10,1,1
459,And again ,10.3873,44.63333333333333,137.7,0.0,46,5.7,142.5,163.0,0,19.0,1,2020-03-23,2,1,55.8972999897378,4.296468161897396,2020-03-23 08:37:47,8,1,1
460,WD,3.459,15.05,36.0,0.0,11,4.6,146.1,157.0,0,7.0,1,2020-06-23,4,0,0.3727299827005481,4.350300182719916,2020-06-23 19:26:13,19,1,1
461,Sunny Worthing my ass ,7.0078000000000005,30.666666666666668,44.0,0.0,35,5.3,138.4,156.0,0,10.0,1,2019-12-20,2,0,14.163559944790904,4.375426621160409,2019-12-20 10:08:41,10,1,1
462,Shake up 1,3.0179,13.4,11.0,0.0,20,5.6,129.4,144.0,0,3.0,1,2020-01-31,2,0,1.0144305633730255,4.439531166755461,2020-01-31 09:10:49,9,1,1
463,WU,4.439,20.33333333333333,38.0,0.0,8,6.4,132.0,150.0,0,5.0,1,2019-12-14,3,0,13.838645281794015,4.579829623522946,2019-12-14 08:58:36,8,1,1
464,WD,3.6919,16.25,11.0,0.0,8,4.7,143.2,160.0,0,7.0,1,2020-06-09,4,0,6.031769908076967,4.400844996039082,2020-06-09 17:42:02,17,1,1
465,Bonus mileage ,1.5,7.0,0.0,0.0,13,0.0,,,0,,1,2020-10-16,5,0,0.0,4.667040044805376,2020-10-16 22:00:00,22,0,1
466,Mildly moist ,28.4746,124.13333333333334,61.0,2.0,63,5.3,160.2,196.0,1,166.0,1,2021-02-27,1,1,122.6977678015828,4.359403609730578,2021-02-27 16:12:57,16,1,1
467,That's a wrap folks,12.1702,41.13333333333333,112.8,3.0,52,6.8,177.2,190.0,9,109.0,1,2019-12-31,3,1,7.358054972428363,3.379841817075644,2019-12-31 09:24:04,9,1,1
468,Olmec head ,13.2271,60.0,14.0,0.0,37,5.0,128.0,144.0,0,13.0,1,2021-02-17,1,1,75.212970841676,4.536200326619489,2021-02-17 16:01:15,16,1,1
469,WU,4.6224,20.816666666666663,11.0,0.0,12,7.8,132.0,151.0,0,5.0,1,2020-01-21,4,0,6.887360177643132,4.503107268305864,2020-01-21 18:10:31,18,1,1
470,Hundy ,8.5236,40.43333333333333,10.0,0.0,41,7.1,133.9,146.0,0,9.0,1,2021-01-17,1,1,0.0604311935603618,4.744093367492172,2021-01-17 17:09:03,17,1,1
471,WU,3.0047,13.016666666666667,3.0,0.0,6,6.6,149.3,163.0,0,9.0,1,2020-05-30,4,0,6.426030017792073,4.332206914478815,2020-05-30 09:19:09,9,1,1
472,Pre exam shuffle ,7.317,34.1,32.0,0.0,28,5.2,130.4,152.0,0,8.0,1,2019-12-18,2,0,11.64718523796182,4.660514541387025,2019-12-18 07:08:54,7,1,1
473,4 x 30s hills,1.3897,6.35,15.1,0.0,15,7.8,139.0,154.0,0,1.0,1,2020-02-29,4,0,0.0060500497056636,4.568530701754386,2020-02-29 17:05:49,17,1,1
474,Loop de loop ,8.1047,35.916666666666664,6.0,0.0,35,5.4,148.4,169.0,0,25.0,1,2021-01-19,4,0,1.393561251461506,4.431268279712842,2021-01-19 15:00:53,15,1,1
475,Close encounters of the bovine kind,14.0656,61.46666666666667,221.8,0.0,69,5.7,146.4,172.0,0,34.0,1,2020-06-22,2,1,38.40315503111924,4.369690613529103,2020-06-22 08:31:26,8,1,1
476,WD,3.2294,16.8,16.0,0.0,10,4.4,136.0,149.0,0,4.0,1,2021-03-02,4,0,0.0922882463783025,5.201622971285892,2021-03-02 22:27:04,22,0,1
477,Boaby loop,5.6274,23.98333333333333,31.0,0.0,48,5.0,145.7,168.0,0,12.0,1,2020-04-29,1,1,15.52292001179012,4.261314241881872,2020-04-29 15:13:50,15,1,1
478,Kathryn Albertson is different gravy🤤🤤,8.336799999999998,39.68333333333333,5.0,0.0,41,5.1,147.6,163.0,0,25.0,1,2020-10-21,2,0,12.184702791273594,4.760354184518709,2020-10-21 22:10:03,22,0,1
